Temperatura inicial: 10000
109 99 161 | 0 202
106 100 105 | 0 231
117 100 393 | 0 392
106 100 382 | 0 271
117 100 824 | 0 301
117 100 916 | 0 302
117 100 27 | 0 145
117 100 437 | 77 86
117 100 589 | 0 211
117 100 751 | 0 198
117 100 22 | 71 77
109 99 119 | 0 238
109 99 874 | 0 236
117 100 299 | 0 338
117 100 351 | 0 369
103 95 435 | 0 471
117 100 596 | 84 88
106 100 123 | 83 90
117 100 189 | 0 176
109 99 79 | 0 193
109 99 494 | 0 138
106 100 256 | 0 216
117 100 554 | 66 67
117 100 367 | 0 319
106 100 935 | 0 210
117 100 414 | 91 78
117 100 286 | 0 269
106 100 253 | 0 364
117 100 911 | 0 337
117 100 752 | 0 238
117 100 352 | 0 213
117 100 693 | 0 364
117 100 669 | 0 184
117 100 582 | 0 304
117 100 594 | 0 349
106 100 485 | 0 330
117 100 968 | 0 268
109 99 8 | 0 287
117 100 401 | 0 190
117 100 993 | 117 100
117 100 342 | 0 280
109 99 773 | 0 261
109 99 273 | 0 256
109 99 85 | 0 239
117 100 491 | 0 309
109 99 335 | 0 309
117 100 329 | 0 230
106 100 643 | 0 354
117 100 465 | 0 230
117 100 532 | 80 91
117 100 818 | 0 268
117 100 66 | 0 392
117 100 188 | 0 395
117 100 701 | 0 394
105 96 386 | 0 176
117 100 997 | 117 100
117 100 359 | 0 302
117 100 804 | 0 257
109 99 356 | 98 93
109 99 505 | 0 360
117 100 628 | 85 100
105 96 862 | 0 368
109 99 310 | 0 257
106 100 257 | 0 323
117 100 407 | 105 96
109 99 513 | 0 254
117 100 437 | 105 96
117 100 215 | 0 249
117 100 436 | 66 67
109 99 644 | 0 176
109 99 415 | 0 243
117 100 162 | 0 214
117 100 578 | 0 226
117 100 294 | 0 243
117 100 163 | 0 471
109 99 370 | 0 261
117 100 867 | 0 234
106 100 335 | 0 220
105 96 391 | 0 174
106 100 72 | 0 317
109 99 796 | 0 347
117 100 111 | 98 93
117 100 121 | 0 299
109 99 235 | 0 308
117 100 187 | 90 92
117 100 8 | 66 67
117 100 201 | 91 91
109 99 551 | 0 203
109 99 38 | 0 113
106 100 462 | 0 212
117 100 182 | 0 185
117 100 768 | 0 272
117 100 162 | 90 92
103 95 756 | 0 320
117 100 727 | 0 290
117 100 294 | 0 206
117 100 83 | 0 230
106 100 892 | 0 344
117 100 463 | 0 366
117 100 217 | 90 92
117 100 391 | 0 291
117 100 207 | 0 161
105 96 230 | 97 95
117 100 779 | 0 195
117 100 32 | 0 142
106 100 474 | 0 281
117 100 911 | 0 370
117 100 93 | 0 253
105 96 558 | 0 311
117 100 314 | 91 78
117 100 818 | 0 423
117 100 528 | 92 95
117 100 105 | 0 397
117 100 423 | 0 274
109 99 811 | 0 333
117 100 100 | 0 201
117 100 213 | 0 262
117 100 732 | 0 332
109 99 527 | 0 259
117 100 410 | 0 286
117 100 189 | 0 144
109 99 968 | 0 368
117 100 222 | 0 492
106 100 403 | 0 314
117 100 362 | 0 382
117 100 205 | 0 128
117 100 156 | 85 74
105 96 503 | 0 311
117 100 375 | 0 304
109 99 955 | 0 373
117 100 232 | 99 97
117 100 16 | 87 93
117 100 696 | 92 95
103 95 684 | 0 209
117 100 123 | 0 354
117 100 342 | 0 188
109 99 178 | 91 91
106 100 331 | 0 245
117 100 333 | 0 421
106 100 299 | 0 394
109 99 880 | 0 226
106 100 540 | 77 81
117 100 591 | 0 238
117 100 336 | 0 344
106 100 303 | 0 222
117 100 132 | 0 306
117 100 904 | 0 302
117 100 804 | 0 147
109 99 880 | 0 311
117 100 346 | 0 380
117 100 6 | 85 95
117 100 237 | 0 359
105 96 430 | 0 254
117 100 524 | 0 346
117 100 39 | 0 188
117 100 723 | 0 335
117 100 578 | 0 165
117 100 748 | 0 421
106 100 152 | 0 184
109 99 91 | 0 129
117 100 754 | 105 96
117 100 637 | 0 212
117 100 403 | 0 242
117 100 98 | 0 304
109 99 590 | 0 326
117 100 399 | 0 282
117 100 368 | 0 221
117 100 325 | 0 163
106 100 939 | 0 371
109 99 42 | 0 141
117 100 388 | 0 304
109 99 826 | 87 93
117 100 93 | 0 242
105 96 668 | 0 328
117 100 154 | 0 349
109 99 403 | 0 304
117 100 404 | 0 319
109 99 288 | 0 322
117 100 400 | 0 264
117 100 498 | 0 320
109 99 97 | 0 371
106 100 46 | 0 312
117 100 96 | 0 328
105 96 553 | 0 341
117 100 624 | 0 231
117 100 320 | 0 232
98 93 848 | 0 241
109 99 283 | 0 156
117 100 374 | 0 243
106 100 155 | 0 293
117 100 903 | 0 292
117 100 516 | 0 363
117 100 509 | 0 124
99 97 76 | 0 172
106 100 400 | 0 241
109 99 790 | 0 243
109 99 496 | 0 357
109 99 543 | 91 91
117 100 722 | 0 271
117 100 868 | 0 347
117 100 323 | 0 243
117 100 461 | 0 367
117 100 166 | 58 48
117 100 340 | 0 325
109 99 425 | 0 232
117 100 45 | 0 312
117 100 119 | 0 243
117 100 496 | 77 73
109 99 680 | 0 209
117 100 524 | 0 267
106 100 353 | 0 164
117 100 948 | 0 123
109 99 131 | 0 209
117 100 655 | 90 92
109 99 284 | 0 346
109 99 391 | 0 397
106 100 322 | 85 100
106 100 579 | 0 304
117 100 707 | 91 78
117 100 799 | 0 230
117 100 754 | 0 363
117 100 952 | 0 354
109 99 470 | 0 206
109 99 173 | 90 92
117 100 200 | 0 319
117 100 163 | 109 99
109 99 26 | 0 324
