Temperatura inicial: 10000 | População inicial 1
Função de resfriamento 1 | 1000 execuções
117 100 979 | 105 96
109 99 170 | 77 81
117 100 434 | 91 91
117 100 1534 | 91 91
117 100 731 | 90 92
117 100 1178 | 89 98
117 100 516 | 91 91
117 100 297 | 90 92
117 100 38 | 91 91
117 100 841 | 106 100
117 100 1046 | 85 100
117 100 551 | 105 96
117 100 1030 | 85 95
117 100 605 | 87 93
117 100 609 | 91 91
117 100 914 | 80 91
117 100 991 | 91 91
117 100 422 | 77 81
117 100 1520 | 91 91
117 100 196 | 103 95
117 100 753 | 105 96
117 100 818 | 105 96
117 100 1136 | 105 96
117 100 822 | 98 93
117 100 1075 | 77 86
117 100 806 | 79 85
117 100 372 | 106 100
117 100 1664 | 109 99
117 100 266 | 105 96
117 100 1117 | 97 95
117 100 1067 | 99 97
109 99 867 | 105 96
109 99 458 | 98 93
117 100 16 | 87 93
106 100 599 | 91 91
117 100 1313 | 105 96
109 99 124 | 83 90
117 100 468 | 89 98
105 96 274 | 85 95
117 100 98 | 97 95
117 100 1055 | 109 99
105 96 62 | 91 91
117 100 870 | 103 95
117 100 986 | 87 93
117 100 1407 | 84 88
117 100 454 | 77 81
117 100 823 | 85 100
109 99 430 | 109 99
117 100 903 | 87 93
117 100 246 | 97 95
117 100 823 | 106 100
117 100 849 | 109 99
117 100 1128 | 78 98
117 100 899 | 109 99
106 100 1065 | 80 91
117 100 1339 | 90 92
117 100 18 | 106 100
117 100 1082 | 109 99
117 100 326 | 117 100
117 100 1022 | 117 100
117 100 1453 | 117 100
117 100 585 | 90 92
117 100 1633 | 117 100
117 100 66 | 105 96
117 100 695 | 109 99
117 100 995 | 89 98
117 100 1114 | 109 99
117 100 1023 | 84 88
117 100 793 | 80 91
117 100 655 | 117 100
117 100 912 | 91 91
117 100 1142 | 91 91
117 100 34 | 85 95
117 100 631 | 106 100
117 100 124 | 117 100
117 100 805 | 105 96
109 99 1494 | 77 81
117 100 675 | 97 95
117 100 875 | 97 95
117 100 1297 | 103 95
109 99 735 | 79 85
117 100 10 | 117 100
109 99 1611 | 109 99
117 100 578 | 83 90
117 100 1438 | 117 100
117 100 1247 | 73 88
117 100 212 | 99 97
117 100 22 | 73 88
117 100 152 | 91 91
117 100 879 | 117 100
109 99 431 | 77 81
117 100 1341 | 109 99
117 100 728 | 117 100
117 100 418 | 73 88
117 100 710 | 117 100
117 100 786 | 98 93
117 100 1243 | 105 96
117 100 801 | 103 95
117 100 932 | 97 95
117 100 10 | 89 98
117 100 1438 | 98 93
117 100 1191 | 91 91
117 100 1693 | 117 100
117 100 386 | 105 96
117 100 1340 | 79 85
117 100 26 | 117 100
117 100 1337 | 105 96
117 100 1675 | 117 100
117 100 64 | 79 85
117 100 772 | 117 100
117 100 600 | 91 91
109 99 1297 | 90 92
117 100 1617 | 117 100
117 100 995 | 98 93
117 100 16 | 89 98
109 99 969 | 90 92
117 100 1072 | 109 99
117 100 476 | 99 97
106 100 546 | 87 93
117 100 781 | 105 96
109 99 452 | 106 100
117 100 1561 | 117 100
117 100 494 | 89 98
117 100 335 | 92 95
117 100 130 | 83 90
117 100 554 | 99 97
109 99 883 | 85 100
109 99 1240 | 97 95
117 100 471 | 99 97
117 100 731 | 92 95
117 100 606 | 109 99
117 100 929 | 97 95
117 100 272 | 77 86
106 100 554 | 89 98
117 100 1490 | 98 93
117 100 688 | 89 98
109 99 584 | 105 96
117 100 344 | 106 100
117 100 750 | 97 95
117 100 248 | 105 96
117 100 18 | 90 92
117 100 1282 | 92 95
117 100 773 | 83 90
109 99 729 | 91 91
117 100 1673 | 103 95
117 100 1419 | 87 93
117 100 1492 | 98 93
117 100 1341 | 117 100
117 100 26 | 117 100
117 100 515 | 89 98
117 100 570 | 117 100
117 100 204 | 109 99
117 100 528 | 91 91
117 100 246 | 109 99
117 100 1439 | 85 95
117 100 787 | 103 95
117 100 1461 | 106 100
117 100 211 | 109 99
117 100 768 | 89 98
117 100 320 | 77 86
117 100 592 | 117 100
117 100 1555 | 117 100
117 100 1161 | 117 100
109 99 904 | 109 99
117 100 1056 | 77 81
117 100 1630 | 103 95
117 100 502 | 89 98
117 100 546 | 98 93
117 100 496 | 117 100
117 100 939 | 105 96
117 100 307 | 76 69
117 100 1010 | 106 100
117 100 772 | 105 96
109 99 1123 | 84 88
117 100 1473 | 97 95
117 100 314 | 117 100
117 100 691 | 105 96
117 100 1738 | 117 100
117 100 1708 | 117 100
117 100 142 | 106 100
109 99 156 | 76 69
117 100 328 | 117 100
117 100 390 | 105 96
117 100 150 | 78 98
117 100 1131 | 103 95
117 100 1291 | 79 85
117 100 964 | 103 95
117 100 639 | 91 91
117 100 174 | 77 86
109 99 244 | 99 97
117 100 947 | 87 93
117 100 1293 | 98 93
117 100 228 | 98 93
109 99 1048 | 91 91
117 100 1364 | 105 96
117 100 803 | 91 91
106 100 1155 | 97 95
117 100 218 | 78 98
117 100 917 | 98 93
117 100 168 | 109 99
117 100 18 | 89 98
117 100 1417 | 117 100
117 100 92 | 91 91
106 100 972 | 85 100
117 100 590 | 98 93
117 100 1404 | 106 100
117 100 912 | 109 99
117 100 16 | 97 95
117 100 1116 | 105 96
117 100 1170 | 98 93
117 100 1574 | 109 99
117 100 702 | 105 96
117 100 1639 | 91 91
117 100 874 | 103 95
117 100 538 | 91 91
117 100 1534 | 117 100
117 100 80 | 97 95
117 100 316 | 97 95
117 100 24 | 103 95
117 100 224 | 85 95
117 100 615 | 91 91
117 100 370 | 79 85
117 100 720 | 89 98
117 100 316 | 80 91
117 100 602 | 109 99
117 100 442 | 109 99
117 100 1698 | 109 99
117 100 400 | 91 91
117 100 296 | 117 100
117 100 750 | 97 95
117 100 556 | 92 95
117 100 1603 | 117 100
117 100 969 | 98 93
117 100 1200 | 91 91
117 100 130 | 117 100
117 100 1454 | 87 93
117 100 48 | 103 95
117 100 991 | 85 100
117 100 450 | 91 91
109 99 356 | 98 93
117 100 1621 | 117 100
103 95 472 | 92 95
117 100 250 | 105 96
117 100 352 | 85 100
117 100 1403 | 117 100
117 100 964 | 83 90
